is_aml_paper,arxiv_id,found_in_artifacts,num_artifacts,paper_title,paper_authors,paper_pub_date,first_adoption_date,first_adoption_artifact,all_adoptions,adoption_lag_months,G1,G2,G3,G4,G5,G6,T1,T2,Q1
YES,2007.05869,RobustBench,1,Adversarially-Trained Deep Nets Transfer Better: Illustration on Image Classification,Francisco Utrera; Evan Kravitz; N. Benjamin Erichson; Rajiv Khanna; Michael W. Mahoney,2020-07-11,2020-06-28,RobustBench,RobustBench:2020-06-28,-0.4,,,,,,,,,
YES,2007.07677,Foolbox,1,Fast Differentiable Clipping-Aware Normalization and Rescaling,Jonas Rauber; Matthias Bethge,2020-07-15,2020-01-10,Foolbox,Foolbox:2020-01-10; Foolbox:2020-08-10,-6.1,,,,,,,,,
YES,2007.08489,RobustBench,1,Do Adversarially Robust ImageNet Models Transfer Better?,Hadi Salman; Andrew Ilyas; Logan Engstrom; Ashish Kapoor; Aleksander Madry,2020-07-16,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-08-26; RobustBench:2021-08-26; RobustBench:2021-08-26; RobustBench:2021-08-26,-0.6,,,,,,,,,
YES,2007.14321,IBM ART,1,Label-Only Membership Inference Attacks,Christopher A. Choquette-Choo; Florian Tramer; Nicholas Carlini; Nicolas Papernot,2020-07-28,2020-02-18,IBM ART,IBM ART:2020-02-18; IBM ART:2020-11-07,-5.3,,,,,,,,,
YES,2007.15528,IBM ART,1,Membership Leakage in Label-Only Exposures,Zheng Li; Yang Zhang,2020-07-30,2020-11-07,IBM ART,IBM ART:2020-11-07,3.3,,,,,,,,,
YES,2008.03364,RobustBench,1,Improving the Speed and Quality of GAN by Adversarial Training,Jiachen Zhong; Xuanqing Liu; Cho-Jui Hsieh,2020-08-07,2020-06-28,RobustBench,RobustBench:2020-06-28,-1.3,,,,,,,,,
YES,2008.04175,Foolbox,1,"EagerPy: Writing Code That Works Natively with PyTorch, TensorFlow, JAX, and NumPy",Jonas Rauber; Matthias Bethge; Wieland Brendel,2020-08-10,2020-08-10,Foolbox,Foolbox:2020-08-10,0.0,,,,,,,,,
YES,2008.07125,IBM ART,1,Adversarial EXEmples: A Survey and Experimental Evaluation of Practical Attacks on Machine Learning for Windows Malware Detection,Luca Demetrio; Scott E. Coull; Battista Biggio; Giovanni Lagorio; Alessandro Armando...,2020-08-17,2021-04-07,IBM ART,IBM ART:2021-04-07,7.7,,,,,,,,,
YES,2009.02276,IBM ART,1,Witches' Brew: Industrial Scale Data Poisoning via Gradient Matching,Jonas Geiping; Liam Fowl; W. Ronny Huang; Wojciech Czaja; Gavin Taylor...,2020-09-04,2021-12-07,IBM ART,IBM ART:2021-12-07,15.1,,,,,,,,,
YES,2009.04131,RobustBench,1,SoK: Certified Robustness for Deep Neural Networks,Linyi Li; Tao Xie; Bo Li,2020-09-09,2020-06-28,RobustBench,RobustBench:2020-06-28,-2.4,,,,,,,,,
YES,2009.06368,TextAttack,1,Searching for a Search Method: Benchmarking Search Algorithms for Generating NLP Adversarial Examples,Jin Yong Yoo; John X. Morris; Eli Lifland; Yanjun Qi,2020-09-09,2019-10-11,TextAttack,TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2020-11-14; TextAttack:2020-11-17; TextAttack:2020-10-05; TextAttack:2020-11-10; TextAttack:2021-05-02,-11.0,,,,,,,,,
YES,2009.07502,TextAttack,1,Contextualized Perturbation for Textual Adversarial Attack,Dianqi Li; Yizhe Zhang; Hao Peng; Liqun Chen; Chris Brockett...,2020-09-16,2019-10-11,TextAttack,TextAttack:2020-05-07; TextAttack:2020-10-26; TextAttack:2020-06-19; TextAttack:2020-10-26; TextAttack:2020-10-17; TextAttack:2019-10-11; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14; TextAttack:2020-12-19,-11.2,,,,,,,,,
YES,2010.00467,"AutoAttack, RobustBench",2,Bag of Tricks for Adversarial Training,Tianyu Pang; Xiao Yang; Yinpeng Dong; Hang Su; Jun Zhu,2020-10-01,2020-02-17,AutoAttack,RobustBench:2021-02-16; AutoAttack:2020-02-17,-7.5,,,,,,,,,
YES,2010.01278,RobustBench,1,Efficient Robust Training via Backward Smoothing,Jinghui Chen; Yu Cheng; Zhe Gan; Quanquan Gu; Jingjing Liu,2020-10-03,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-02-16; RobustBench:2021-02-16,-3.2,,,,,,,,,
YES,2010.01279,"AutoAttack, RobustBench",2,Do Wider Neural Networks Really Help Adversarial Robustness?,Boxi Wu; Jinghui Chen; Deng Cai; Xiaofei He; Quanquan Gu,2020-10-03,2020-02-17,AutoAttack,RobustBench:2021-02-16; AutoAttack:2020-02-17,-7.5,,,,,,,,,
YES,2010.01724,TextAttack,1,TextAttack: Lessons learned in designing Python frameworks for NLP,John X. Morris; Jin Yong Yoo; Yanjun Qi,2020-10-05,2020-10-05,TextAttack,TextAttack:2020-10-05,0.0,,,,,,,,,
YES,2010.01736,RobustBench,1,Geometry-aware Instance-reweighted Adversarial Training,Jingfeng Zhang; Jianing Zhu; Gang Niu; Bo Han; Masashi Sugiyama...,2020-10-05,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-05-04,-3.3,,,,,,,,,
YES,2010.03593,"AutoAttack, RobustBench",2,Uncovering the Limits of Adversarial Training against Norm-Bounded Adversarial Examples,Sven Gowal; Chongli Qin; Jonathan Uesato; Timothy Mann; Pushmeet Kohli,2020-10-07,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; AutoAttack:2020-02-17,-7.7,,,,,,,,,
YES,2010.09670,"AutoAttack, RobustBench",2,RobustBench: a standardized adversarial robustness benchmark,Francesco Croce; Maksym Andriushchenko; Vikash Sehwag; Edoardo Debenedetti; Nicolas Flammarion...,2020-10-19,2020-06-28,RobustBench,RobustBench:2020-06-28; AutoAttack:2021-08-31,-3.7,,,,,,,,,
YES,2011.03083,RobustBench,1,A Tunable Robust Pruning Framework Through Dynamic Network Rewiring of DNNs,Souvik Kundu; Mahdi Nazemi; Peter A. Beerel; Massoud Pedram,2020-11-03,2021-03-30,RobustBench,RobustBench:2021-03-30,4.8,,,,,,,,,
YES,2011.11164,"AutoAttack, RobustBench",2,Learnable Boundary Guided Adversarial Training,Jiequan Cui; Shu Liu; Liwei Wang; Jiaya Jia,2020-11-23,2020-02-17,AutoAttack,RobustBench:2020-06-28; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; RobustBench:2021-02-16; AutoAttack:2020-02-17,-9.2,,,,,,,,,
YES,2101.06896,MITRE ATLAS,1,DeepPayload: Black-box Backdoor Attack on Deep Learning Models through Neural Payload Injection,Yuanchun Li; Jiayi Hua; Haoyu Wang; Chunyang Chen; Yunxin Liu,2021-01-18,2021-10-29,MITRE ATLAS,MITRE ATLAS:2021-10-29,9.3,,,,,,,,,
YES,2102.12827,Foolbox,1,Fast Minimum-norm Adversarial Attacks through Adaptive Norm Constraints,Maura Pintor; Fabio Roli; Wieland Brendel; Battista Biggio,2021-02-25,2021-06-04,Foolbox,Foolbox:2021-06-04,3.3,,,,,,,,,
YES,2103.01208,AutoAttack,1,Mind the box: $l_1$-APGD for sparse adversarial attacks on image classifiers,Francesco Croce; Matthias Hein,2021-03-01,2020-02-17,AutoAttack,AutoAttack:2020-02-17,-12.4,,,,,,,,,
YES,2103.01946,RobustBench,1,Fixing Data Augmentation to Improve Adversarial Robustness,Sylvestre-Alvise Rebuffi; Sven Gowal; Dan A. Calian; Florian Stimberg; Olivia Wiles...,2021-03-02,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14; RobustBench:2021-05-14,-8.1,,,,,,,,,
YES,2103.02079,IBM ART,1,DP-InstaHide: Provably Defusing Poisoning and Backdoor Attacks with Differentially Private Data Augmentations,Eitan Borgnia; Jonas Geiping; Valeriia Cherepanova; Liam Fowl; Arjun Gupta...,2021-03-02,2022-12-07,IBM ART,IBM ART:2022-12-07,21.2,,,,,,,,,
YES,2103.02325,RobustBench,1,On the effectiveness of adversarial training against common corruptions,Klim Kireev; Maksym Andriushchenko; Nicolas Flammarion,2021-03-03,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-03-07; RobustBench:2021-03-07; RobustBench:2021-03-07; RobustBench:2021-03-07; RobustBench:2021-03-07,-8.1,,,,,,,,,
YES,2103.03874,MITRE ATLAS,1,Measuring Mathematical Problem Solving With the MATH Dataset,Dan Hendrycks; Collin Burns; Saurav Kadavath; Akul Arora; Steven Basart...,2021-03-05,2023-03-01,MITRE ATLAS,MITRE ATLAS:2023-03-01,23.9,,,,,,,,,
YES,2103.06504,IBM ART,1,Adversarial Laser Beam: Effective Physical-World Attack to DNNs in a Blink,Ranjie Duan; Xiaofeng Mao; A. K. Qin; Yun Yang; Yuefeng Chen...,2021-03-11,2021-11-10,IBM ART,IBM ART:2021-11-10; IBM ART:2021-11-10; IBM ART:2021-11-10,8.0,,,,,,,,,
YES,2103.14030,RobustBench,1,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,Ze Liu; Yutong Lin; Yue Cao; Han Hu; Yixuan Wei...,2021-03-25,2024-11-05,RobustBench,RobustBench:2025-02-02; RobustBench:2024-11-05,43.4,,,,,,,,,
YES,2104.01086,RobustBench,1,Defending Against Image Corruptions Through Adversarial Augmentations,Dan A. Calian; Florian Stimberg; Olivia Wiles; Sylvestre-Alvise Rebuffi; Andras Gyorgy...,2021-04-02,2021-04-14,RobustBench,RobustBench:2021-04-14,0.4,,,,,,,,,
YES,2104.09425,RobustBench,1,Robust Learning Meets Generative Models: Can Proxy Distributions Improve Adversarial Robustness?,Vikash Sehwag; Saeed Mahloujifar; Tinashe Handina; Sihui Dai; Chong Xiang...,2021-04-19,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-03-15; RobustBench:2022-03-15; RobustBench:2021-04-22; RobustBench:2021-04-22; RobustBench:2021-04-22; RobustBench:2021-04-22,-9.7,,,,,,,,,
YES,2106.02078,RobustBench,1,Improving Neural Network Robustness via Persistency of Excitation,Kaustubh Sridhar; Oleg Sokolsky; Insup Lee; James Weimer,2021-06-03,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-06-18; RobustBench:2021-06-18,-11.2,,,,,,,,,
YES,2106.08970,IBM ART,1,Sleeper Agent: Scalable Hidden Trigger Backdoors for Neural Networks Trained from Scratch,Hossein Souri; Liam Fowl; Rama Chellappa; Micah Goldblum; Tom Goldstein,2021-06-16,2019-09-03,IBM ART,IBM ART:2022-06-06; IBM ART:2019-09-03,-21.4,,,,,,,,,
YES,2106.09129,RobustBench,1,A Winning Hand: Compressing Deep Networks Can Improve Out-Of-Distribution Robustness,James Diffenderfer; Brian R. Bartoldson; Shreya Chaganti; Jize Zhang; Bhavya Kailkhura,2021-06-16,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-10-20; RobustBench:2021-10-20; RobustBench:2021-10-20; RobustBench:2021-10-20; RobustBench:2021-10-20; RobustBench:2021-10-20; RobustBench:2021-10-20; RobustBench:2021-10-20,-11.6,,,,,,,,,
YES,2106.09898,TextAttack,1,Bad Characters: Imperceptible NLP Attacks,Nicholas Boucher; Ilia Shumailov; Ross Anderson; Nicolas Papernot,2021-06-18,2019-10-11,TextAttack,TextAttack:2019-11-05; TextAttack:2025-01-15; TextAttack:2025-01-15; TextAttack:2025-01-15; TextAttack:2025-04-17; TextAttack:2019-10-11; TextAttack:2021-06-17; TextAttack:2020-11-14,-20.2,,,,,,,,,
YES,2106.09947,"AutoAttack, IBM ART",2,Indicators of Attack Failure: Debugging and Improving Optimization of Adversarial Examples,Maura Pintor; Luca Demetrio; Angelo Sotgiu; Ambra Demontis; Nicholas Carlini...,2021-06-18,2021-08-31,AutoAttack,IBM ART:2021-11-12; AutoAttack:2021-08-31,2.4,,,,,,,,,
YES,2108.01644,IBM ART,1,The Devil is in the GAN: Backdoor Attacks and Defenses in Deep Generative Models,Ambrish Rawat; Killian Levacher; Mathieu Sinn,2021-08-03,2021-11-12,IBM ART,IBM ART:2021-12-08; IBM ART:2021-12-08; IBM ART:2021-11-12; IBM ART:2021-12-08,3.3,,,,,,,,,
YES,2109.00544,TextAttack,1,Towards Improving Adversarial Training of NLP Models,Jin Yong Yoo; Yanjun Qi,2021-09-01,2019-10-11,TextAttack,TextAttack:2021-09-11; TextAttack:2019-10-11; TextAttack:2020-10-05; TextAttack:2021-11-11,-22.7,,,,,,,,,
YES,2110.03825,RobustBench,1,Exploring Architectural Ingredients of Adversarially Robust Deep Neural Networks,Hanxun Huang; Yisen Wang; Sarah Monazam Erfani; Quanquan Gu; James Bailey...,2021-10-07,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-10-19; RobustBench:2021-10-19,-15.3,,,,,,,,,
YES,2110.05626,RobustBench,1,Parameterizing Activation Functions for Adversarial Robustness,Sihui Dai; Saeed Mahloujifar; Prateek Mittal,2021-10-11,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-10-29,-15.4,,,,,,,,,
YES,2110.07719,IBM ART,1,Certified Patch Robustness via Smoothed Vision Transformers,Hadi Salman; Saachi Jain; Eric Wong; Aleksander Mądry,2021-10-11,2019-05-02,IBM ART,IBM ART:2022-05-18; IBM ART:2019-05-02; IBM ART:2023-04-19,-29.3,,,,,,,,,
YES,2110.09468,RobustBench,1,Improving Robustness using Generated Data,Sven Gowal; Sylvestre-Alvise Rebuffi; Olivia Wiles; Florian Stimberg; Dan Andrei Calian...,2021-10-18,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-10-19; RobustBench:2021-10-19; RobustBench:2021-10-19,-15.7,,,,,,,,,
YES,2110.12976,RobustBench,1,Stable Neural ODE with Lyapunov-Stable Equilibrium Points for Defending Against Adversarial Attacks,Qiyu Kang; Yang Song; Qinxu Ding; Wee Peng Tay,2021-10-25,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-02-14,-15.9,,,,,,,,,
YES,2110.14168,MITRE ATLAS,1,Training Verifiers to Solve Math Word Problems,Karl Cobbe; Vineet Kosaraju; Mohammad Bavarian; Mark Chen; Heewoo Jun...,2021-10-27,2023-03-01,MITRE ATLAS,MITRE ATLAS:2023-03-01,16.1,,,,,,,,,
YES,2111.02331,RobustBench,1,LTD: Low Temperature Distillation for Gradient Masking-free Adversarial Training,Erh-Chung Chen; Che-Rung Lee,2021-11-03,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-11-10; RobustBench:2021-11-10; RobustBench:2021-11-10,-16.2,,,,,,,,,
YES,2111.09277,IBM ART,1,SmoothMix: Training Confidence-calibrated Smoothed Classifiers for Certified Robustness,Jongheon Jeong; Sejun Park; Minkyu Kim; Heung-Chang Lee; Doguk Kim...,2021-11-17,2023-07-06,IBM ART,IBM ART:2023-07-06,19.6,,,,,,,,,
NO - Exclude,2111.14725,RobustBench,1,Searching the Search Space of Vision Transformer,Minghao Chen; Kan Wu; Bolin Ni; Houwen Peng; Bei Liu...,2021-11-29,2024-11-05,RobustBench,RobustBench:2024-11-05,35.2,,,,,,,,,
YES,2112.02230,IBM ART,1,SHAPr: An Efficient and Versatile Membership Privacy Risk Metric for Machine Learning,Vasisht Duddu; Sebastian Szyller; N. Asokan,2021-12-04,2021-01-05,IBM ART,IBM ART:2021-01-05,-10.9,,,,,,,,,
YES,2112.03570,IBM ART,1,Membership Inference Attacks From First Principles,Nicholas Carlini; Steve Chien; Milad Nasr; Shuang Song; Andreas Terzis...,2021-12-07,2022-05-12,IBM ART,IBM ART:2022-05-12,5.1,,,,,,,,,
YES,2112.13547,RobustBench,1,PRIME: A few primitives can boost robustness to common corruptions,Apostolos Modas; Rahul Rade; Guillermo Ortiz-Jiménez; Seyed-Mohsen Moosavi-Dezfooli; Pascal Frossard,2021-12-27,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-01-13; RobustBench:2022-01-13,-18.0,,,,,,,,,
YES,2202.01263,RobustBench,1,NoisyMix: Boosting Model Robustness to Common Corruptions,N. Benjamin Erichson; Soon Hoe Lim; Winnie Xu; Francisco Utrera; Ziang Cao...,2022-02-02,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-02-22; RobustBench:2022-02-22; RobustBench:2022-02-22; RobustBench:2022-02-22,-19.2,,,,,,,,,
YES,2202.01811,IBM ART,1,ObjectSeeker: Certifiably Robust Object Detection against Patch Hiding Attacks via Patch-agnostic Masking,Chong Xiang; Alexander Valtchanov; Saeed Mahloujifar; Prateek Mittal,2022-02-03,2020-02-18,IBM ART,IBM ART:2020-02-18; IBM ART:2023-07-05,-23.5,,,,,,,,,
YES,2202.04235,IBM ART,1,Towards Compositional Adversarial Robustness: Generalizing Adversarial Training to Composite Semantic Perturbations,Lei Hsiung; Yun-Yun Tsai; Pin-Yu Chen; Tsung-Yi Ho,2022-02-09,2019-09-03,IBM ART,IBM ART:2023-09-14; IBM ART:2019-09-03,-29.2,,,,,,,,,
YES,2202.10103,RobustBench,1,Robustness and Accuracy Could Be Reconcilable by (Proper) Definition,Tianyu Pang; Min Lin; Xiao Yang; Jun Zhu; Shuicheng Yan,2022-02-21,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-03-15; RobustBench:2022-03-15; RobustBench:2022-03-15; RobustBench:2022-03-15,-19.8,,,,,,,,,
YES,2203.06616,RobustBench,1,LAS-AT: Adversarial Training with Learnable Attack Strategy,Xiaojun Jia; Yong Zhang; Baoyuan Wu; Ke Ma; Jue Wang...,2022-03-13,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-04-04; RobustBench:2022-04-04; RobustBench:2022-04-04; RobustBench:2022-04-04,-20.5,,,,,,,,,
YES,2203.09509,MITRE ATLAS,1,ToxiGen: A Large-Scale Machine-Generated Dataset for Adversarial and Implicit Hate Speech Detection,Thomas Hartvigsen; Saadia Gabriel; Hamid Palangi; Maarten Sap; Dipankar Ray...,2022-03-17,2023-10-30,MITRE ATLAS,MITRE ATLAS:2023-10-30,19.4,,,,,,,,,
YES,2204.12143,RobustBench,1,Deeper Insights into the Robustness of ViTs towards Common Corruptions,Rui Tian; Zuxuan Wu; Qi Dai; Han Hu; Yu-Gang Jiang,2022-04-26,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2023-04-10; RobustBench:2023-04-10,-21.9,,,,,,,,,
YES,2205.14497,IBM ART,1,BadDet: Backdoor Attacks on Object Detection,Shih-Han Chan; Yinpeng Dong; Jun Zhu; Xiaolu Zhang; Jun Zhou,2022-05-28,2023-02-23,IBM ART,IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23; IBM ART:2023-02-23,8.9,,,,,,,,,
YES,2206.09628,IBM ART,1,Diversified Adversarial Attacks based on Conjugate Gradient Method,Keiichiro Yamamura; Haruki Sato; Nariaki Tateiwa; Nozomi Hata; Toru Mitsutake...,2022-06-20,2019-11-08,IBM ART,IBM ART:2019-11-08,-31.4,,,,,,,,,
YES,2209.07399,RobustBench,1,A Light Recipe to Train Robust Vision Transformers,Edoardo Debenedetti; Vikash Sehwag; Prateek Mittal,2022-09-15,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-09-27; RobustBench:2022-09-27; RobustBench:2022-09-27; RobustBench:2022-09-27; RobustBench:2022-09-27; RobustBench:2022-09-27; RobustBench:2022-09-27; RobustBench:2022-09-27; RobustBench:2022-09-27,-26.6,,,,,,,,,
YES,2210.07540,RobustBench,1,When Adversarial Training Meets Vision Transformers: Recipes from Training to Architecture,Yichuan Mo; Dongxian Wu; Yifei Wang; Yiwen Guo; Yisen Wang,2022-10-14,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2024-06-25; RobustBench:2024-06-25,-27.5,,,,,,,,,
YES,2210.09852,RobustBench,1,Scaling Adversarial Training to Large Perturbation Bounds,Sravanti Addepalli; Samyak Jain; Gaurang Sriramanan; R. Venkatesh Babu,2022-10-18,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2021-10-29; RobustBench:2021-10-29; RobustBench:2021-10-29; RobustBench:2021-10-29; RobustBench:2021-10-29; RobustBench:2021-10-29; RobustBench:2021-10-29,-27.7,,,,,,,,,
YES,2210.15318,RobustBench,1,Efficient and Effective Augmentation Strategy for Adversarial Training,Sravanti Addepalli; Samyak Jain; R. Venkatesh Babu,2022-10-27,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2022-06-07; RobustBench:2022-06-07; RobustBench:2022-06-07; RobustBench:2022-06-07; RobustBench:2022-06-07; RobustBench:2022-06-07,-28.0,,,,,,,,,
YES,2212.11005,RobustBench,1,Revisiting Residual Networks for Adversarial Robustness: An Architectural Perspective,Shihua Huang; Zhichao Lu; Kalyanmoy Deb; Vishnu Naresh Boddeti,2022-12-21,2020-06-28,RobustBench,RobustBench:2023-02-08; RobustBench:2020-06-28; RobustBench:2023-02-08,-29.8,,,,,,,,,
YES,2212.14315,MITRE ATLAS,1,"""Real Attackers Don't Compute Gradients"": Bridging the Gap Between Adversarial ML Research and Practice",Giovanni Apruzzese; Hyrum S. Anderson; Savino Dambra; David Freeman; Fabio Pierazzi...,2022-12-29,2025-09-29,MITRE ATLAS,MITRE ATLAS:2025-09-29,33.0,,,,,,,,,
YES,2301.12554,RobustBench,1,Improving the Accuracy-Robustness Trade-Off of Classifiers via Adaptive Smoothing,Yatong Bai; Brendon G. Anderson; Aerin Kim; Somayeh Sojoudi,2023-01-29,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2023-05-18; RobustBench:2023-05-18; RobustBench:2023-05-18,-31.0,,,,,,,,,
YES,2302.03015,RobustBench,1,Exploring and Exploiting Decision Boundary Dynamics for Adversarial Robustness,Yuancheng Xu; Yanchao Sun; Micah Goldblum; Tom Goldstein; Furong Huang,2023-02-06,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2023-04-24,-31.3,,,,,,,,,
YES,2302.04638,RobustBench,1,Better Diffusion Models Further Improve Adversarial Training,Zekai Wang; Tianyu Pang; Chao Du; Min Lin; Weiwei Liu...,2023-02-09,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2023-02-27; RobustBench:2023-02-27; RobustBench:2023-02-27; RobustBench:2023-02-27; RobustBench:2023-02-27; RobustBench:2023-02-27,-31.4,,,,,,,,,
YES,2302.10149,MITRE ATLAS,1,Poisoning Web-Scale Training Datasets is Practical,Nicholas Carlini; Matthew Jagielski; Christopher A. Choquette-Choo; Daniel Paleka; Will Pearce...,2023-02-20,2024-10-01,MITRE ATLAS,MITRE ATLAS:2024-10-01,19.3,,,,,,,,,
YES,2302.14301,RobustBench,1,A Comprehensive Study on Robustness of Image Classification Models: Benchmarking and Rethinking,Chang Liu; Yinpeng Dong; Wenzhao Xiang; Xiao Yang; Hang Su...,2023-02-28,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2023-03-16; RobustBench:2023-03-16; RobustBench:2023-03-16; RobustBench:2023-03-16,-32.0,,,,,,,,,
YES,2303.01870,RobustBench,1,"Revisiting Adversarial Training for ImageNet: Architectures, Training and Generalization across Threat Models",Naman D Singh; Francesco Croce; Matthias Hein,2023-03-03,2020-06-28,RobustBench,RobustBench:2023-03-15; RobustBench:2020-06-28; RobustBench:2023-03-16; RobustBench:2023-03-16; RobustBench:2023-03-16; RobustBench:2023-03-16; RobustBench:2023-03-16; RobustBench:2023-03-16,-32.1,,,,,,,,,
YES,2304.05370,IBM ART,1,Overload: Latency Attacks on Object Detection for Edge Devices,Erh-Chung Chen; Pin-Yu Chen; I-Hsin Chung; Che-rung Lee,2023-04-11,2023-11-28,IBM ART,IBM ART:2024-04-28; IBM ART:2023-11-28,7.6,,,,,,,,,
YES,2305.13948,RobustBench,1,Decoupled Kullback-Leibler Divergence Loss,Jiequan Cui; Zhuotao Tian; Zhisheng Zhong; Xiaojuan Qi; Bei Yu...,2023-05-23,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2023-06-04; RobustBench:2023-06-04; RobustBench:2023-06-04; RobustBench:2023-06-04; RobustBench:2023-06-04,-34.8,,,,,,,,,
YES,2306.04874,TextAttack,1,Expanding Scope: Adapting English Adversarial Attacks to Chinese,Hanyu Liu; Chengyuan Cai; Yanjun Qi,2023-06-08,2020-10-05,TextAttack,TextAttack:2020-10-05,-32.1,,,,,,,,,
YES,2307.02483,PyRIT,1,Jailbroken: How Does LLM Safety Training Fail?,Alexander Wei; Nika Haghtalab; Jacob Steinhardt,2023-07-05,2024-05-28,PyRIT,PyRIT:2024-05-28; PyRIT:2024-05-28; PyRIT:2024-05-28; PyRIT:2024-05-28,10.8,,,,,,,,,
YES,2307.15043,PyRIT,1,Universal and Transferable Adversarial Attacks on Aligned Language Models,Andy Zou; Zifan Wang; Nicholas Carlini; Milad Nasr; J. Zico Kolter...,2023-07-27,2024-10-09,PyRIT,PyRIT:2024-10-09; PyRIT:2024-10-09,14.5,,,,,,,,,
YES,2308.03825,PyRIT,1,"""Do Anything Now"": Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models",Xinyue Shen; Zeyuan Chen; Michael Backes; Yun Shen; Yang Zhang,2023-08-07,2025-12-03,PyRIT,PyRIT:2025-12-03,27.9,,,,,,,,,
YES,2308.06463,PyRIT,1,GPT-4 Is Too Smart To Be Safe: Stealthy Chat with LLMs via Cipher,Youliang Yuan; Wenxiang Jiao; Wenxuan Wang; Jen-tse Huang; Pinjia He...,2023-08-12,2024-06-10,PyRIT,PyRIT:2024-06-10,10.0,,,,,,,,,
YES,2308.13387,PyRIT,1,Do-Not-Answer: A Dataset for Evaluating Safeguards in LLMs,Yuxia Wang; Haonan Li; Xudong Han; Preslav Nakov; Timothy Baldwin,2023-08-25,2025-12-03,PyRIT,PyRIT:2025-12-03,27.3,,,,,,,,,
YES,2308.16258,RobustBench,1,Robust Principles: Architectural Design Principles for Adversarially Robust CNNs,ShengYun Peng; Weilin Xu; Cory Cornelius; Matthew Hull; Kevin Li...,2023-08-30,2020-06-28,RobustBench,RobustBench:2020-06-28; RobustBench:2023-09-07; RobustBench:2023-09-07,-38.0,,,,,,,,,
YES,2309.10253,PyRIT,1,GPTFUZZER: Red Teaming Large Language Models with Auto-Generated Jailbreak Prompts,Jiahao Yu; Xingwei Lin; Zheng Yu; Xinyu Xing,2023-09-19,2024-03-19,PyRIT,PyRIT:2025-07-23; PyRIT:2024-03-19; PyRIT:2024-09-20; PyRIT:2024-06-21; PyRIT:2024-09-30; PyRIT:2024-09-30; PyRIT:2024-06-21; PyRIT:2024-09-30,6.0,,,,,,,,,
YES,2310.16944,HarmBench,1,Zephyr: Direct Distillation of LM Alignment,Lewis Tunstall; Edward Beeching; Nathan Lambert; Nazneen Rajani; Kashif Rasul...,2023-10-25,2024-02-27,HarmBench,HarmBench:2024-02-27,4.1,,,,,,,,,
